Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
[transformers] The following generation flags are not valid and may be ignored: ['output_hidden_states']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
Loading weights:   0%|          | 0/339 [00:00<?, ?it/s]Loading weights:   0%|          | 1/339 [00:00<01:19,  4.26it/s]Loading weights:   5%|▍         | 16/339 [00:00<00:06, 51.09it/s]Loading weights:  12%|█▏        | 40/339 [00:00<00:02, 103.71it/s]Loading weights:  19%|█▉        | 64/339 [00:00<00:02, 130.69it/s]Loading weights:  26%|██▌       | 88/339 [00:00<00:01, 151.86it/s]Loading weights:  32%|███▏      | 110/339 [00:00<00:01, 167.25it/s]Loading weights:  38%|███▊      | 128/339 [00:00<00:01, 161.58it/s]Loading weights:  44%|████▎     | 148/339 [00:01<00:01, 156.28it/s]Loading weights:  51%|█████     | 172/339 [00:01<00:00, 168.00it/s]Loading weights:  56%|█████▌    | 190/339 [00:01<00:00, 167.28it/s]Loading weights:  62%|██████▏   | 209/339 [00:01<00:00, 166.32it/s]Loading weights:  68%|██████▊   | 232/339 [00:01<00:00, 174.10it/s]Loading weights:  76%|███████▌  | 256/339 [00:01<00:00, 170.35it/s]Loading weights:  83%|████████▎ | 280/339 [00:01<00:00, 183.16it/s]Loading weights:  89%|████████▉ | 303/339 [00:01<00:00, 192.66it/s]Loading weights:  95%|█████████▌| 323/339 [00:02<00:00, 186.63it/s]Loading weights: 100%|██████████| 339/339 [00:02<00:00, 158.86it/s]
237 compiled qwen contracts; layers [4, 8, 12, 16, 18, 20, 24, 28]
  50/237 contracts, 1470 samples
  100/237 contracts, 3481 samples
  150/237 contracts, 5805 samples
  200/237 contracts, 8170 samples

10287 samples, 0.131 positive
 layer    mean     sd
     4   0.868  0.021
     8   0.874  0.009
    12   0.880  0.006
    16   0.871  0.008
    18   0.861  0.008
    20   0.860  0.007
    24   0.868  0.013
    28   0.887  0.008

BEST layer = 28  AUROC = 0.887
